suspect_idx	suspect_mz	suspect_rt	scan_idx	scan_rt	matched_mz	matched_intensity	ppm_error
1	218.9621	474.6	178	462.9622	219.169510245714	13497.5830078125	947.242676766887
1	218.9621	474.6	179	465.6819	219.169784347622	65972.8984375	948.494500291689
1	218.9621	474.6	180	468.3319	219.169590003213	165444.3125	947.606929294533
1	218.9621	474.6	181	470.9919	219.169588523066	406986.6875	947.600169462813
1	218.9621	474.6	182	472.7719	219.165090398501	3749.91772460938	927.057232738659
1	218.9621	474.6	183	475.482	219.164871881412	11313.87890625	926.059265105784
1	218.9621	474.6	184	478.262	219.159520575676	6291.55322265625	901.619849626841
1	218.9621	474.6	185	480.9019	219.165142133299	10581.0732421875	927.293505585369
1	218.9621	474.6	186	483.6821	219.169584233118	360080.8125	947.580577270192
1	218.9621	474.6	187	486.392	219.16961546321	189679.921875	947.723205109939
2	180.1142	458.23	172	446.4719	180.086124584719	3490.03247070312	155.875634911108
2	180.1142	458.23	173	449.2624	180.08612919947	1687.99108886719	155.850013660068
2	180.1142	458.23	174	452.0019	180.086123329816	4529.693359375	155.882602169353
2	180.1142	458.23	175	454.7624	180.085943702234	5900.919921875	156.879900451451
2	180.1142	458.23	176	457.5319	180.086162024304	4118.044921875	155.667769094949
2	180.1142	458.23	177	460.3019	180.10188393566	2101.1484375	68.3791968643812
2	180.1142	458.23	178	462.9622	180.085951442707	6204.57763671875	156.836925091863
2	180.1142	458.23	179	465.6819	180.085948964975	7059.7939453125	156.850681539472
2	180.1142	458.23	180	468.3319	180.085962622586	6266.81298828125	156.774854030084
3	195.9129	488.1	184	478.262	196.05123964197	2681.16064453125	706.12829461354
3	195.9129	488.1	185	480.9019	196.13261173681	22557.896484375	1121.47661950642
3	195.9129	488.1	186	483.6821	196.132618449967	19397.1953125	1121.51088553807
3	195.9129	488.1	187	486.392	196.132621068824	17914.255859375	1121.52425299311
3	195.9129	488.1	188	489.1119	196.132530738149	10322.94140625	1121.06317730391
3	195.9129	488.1	189	491.7619	195.788669176372	1888.9638671875	634.112524636119
3	195.9129	488.1	190	493.5422	196.075072978402	2368.06372070312	827.78101085925
3	195.9129	488.1	191	496.2519	196.133091310567	4415.8916015625	1123.92451220271
3	195.9129	488.1	192	498.9719	196.080778833932	2623.96362304688	856.905461211345
4	213.0557	508.4	192	498.9719	213.086259985682	1845.00634765625	143.436602174142
4	213.0557	508.4	193	501.6225	213.097641841243	10061.39453125	196.858573806688
4	213.0557	508.4	194	504.352	213.072956821354	2188.109375	80.9967597879398
4	213.0557	508.4	195	507.0619	212.094400355778	40041.23828125	4511.96398041496
4	213.0557	508.4	196	509.6919	212.094362094999	36478.65234375	4512.1435615264
4	213.0557	508.4	197	512.392	212.094296829311	35360.8359375	4512.44989309856
